RefSeq_ID,SRA_ID,Run_ID
GCF_016791605.1,SRS7619548,SRR12937952
GCF_000724225.2,SRS570813,SRR1190348
GCF_033052795.2,SRS19137487,SRR26360111
GCF_020731205.1,SRS11212787,SRR17118621
GCF_020381325.1,SRS9024145,SRR14598263
GCF_020736845.1,SRS8377898,SRR13854869
GCF_023717965.1,SRS14706645,SRR21186591
GCF_028823535.1,SRS16445734,SRR23073773
GCF_001904615.1,SRS1735295,SRR4407849
GCF_002836055.1,SRS2729681,SRR6339885
GCF_021228335.1,SRS11219843,SRR17126309
GCF_018982845.1,SRS5546003,SRR10224223
GCF_016103125.1,SRS6868909,SRR12048529
GCF_002836425.1,SRS2729670,SRR6339899
GCF_000724265.2,SRS570853,SRR1190408
GCF_007273535.1,SRS2124819,SRR5448657
GCF_014931625.2,SRS7471512,SRR12767580
GCF_000724245.2,SRS570789,SRR1190305
GCF_018831105.1,SRS8737397,SRR14280049
GCF_019718775.1,SRS10632022,SRR16477310
GCF_016888605.1,SRS7821867,SRR13181641
GCF_019344895.1,SRS9430933,SRR15076246
GCF_016791645.1,SRS7619503,SRR12937901
GCF_020131385.1,SRS9981594,SRR15676351
GCF_014103675.1,SRS6792317,SRR11949093
GCF_002741665.3,SRS3894896,SRR7989208
GCF_002741665.3,SRS3894896,SRR7989209
GCF_002741665.3,SRS3894896,SRR7989210
GCF_002741665.3,SRS3894896,SRR7989211
GCF_002741665.3,SRS3894896,SRR7989212
GCF_002741665.3,SRS3894896,SRR7989213
GCF_002741665.3,SRS3894896,SRR7989214
GCF_002741665.3,SRS3894896,SRR7989215
GCF_002741665.3,SRS3894896,SRR7989216
GCF_002741665.3,SRS3894896,SRR7989222
GCF_025947915.1,SRS15518359,SRR22028294
GCF_021474745.2,SRS13590320,SRR19858090
GCF_012393445.1,SRS4702882,SRR8989645
GCF_016103045.1,SRS6885222,SRR12066798
GCF_014103665.1,SRS6792318,SRR11949092
GCF_002836345.1,SRS2729701,SRR6339893
GCF_017116865.1,SRS8299239,SRR13759741
GCF_014103465.1,SRS6792521,SRR11949233
GCF_016888505.1,SRS7822361,SRR13182320
GCF_016103025.1,SRS6866696,SRR12046046
GCF_002835975.1,SRS2729699,SRR6339864
GCF_002870055.1,SRS2744710,SRR6359951
GCF_002836445.1,SRS2729668,SRR6339897
GCF_030182605.1,SRS17962245,SRR24904737
GCF_021206275.1,SRS11093525,SRR16971278
GCF_014104195.1,SRS6792792,SRR11949306
GCF_014103875.1,SRS6792585,SRR11949169
GCF_021206375.1,SRS11093518,SRR16971285
GCF_022809915.1,SRS12426668,SRR18531864
GCF_016623625.1,SRS7520533,SRR12827771
GCF_023606505.1,SRS11697456,SRR17649258
GCF_001444715.2,SRS4514530,SRR8758384
GCF_014103505.1,SRS6792510,SRR11949246
GCF_004745485.1,SRS4005019,SRR8144905
GCF_009807095.1,SRS6014138,SRR10912296
GCF_014103785.1,SRS6792209,SRR11948889
GCF_001735985.1,SRS1299295,SRR3176539
GCF_001736055.1,SRS1299296,SRR3176540
GCF_003408875.1,SRS1439389,SRR3528286
GCF_001714585.1,SRS1299559,SRR3176542
GCF_001714575.1,SRS1299276,SRR3176536
GCF_016888665.1,SRS7822397,SRR13182420
GCF_023606355.1,SRS11697454,SRR17649260
GCF_016888565.1,SRS7822360,SRR13182318
GCF_016623685.1,SRS7519877,SRR12825858
GCF_014893755.1,SRS6605563,SRR11715818
GCF_023606565.1,SRS11697455,SRR17649259
GCF_023606465.1,SRS11697458,SRR17649256
GCF_016888645.1,SRS7822174,SRR13181995
GCF_020297435.1,SRS10498074,SRR16259009
GCF_023606445.1,SRS11697462,SRR17649252
GCF_002844705.2,SRS11569064,SRR17519988
GCF_020297585.1,SRS10498101,SRR16259010
GCF_023063015.1,SRS11569063,SRR17519989
GCF_015351545.2,SRS7867823,SRR13236868
GCF_023606515.1,SRS11697457,SRR17649257
GCF_023606415.1,SRS11697452,SRR17649262
GCF_025092595.1,SRS9271670,SRR14902867
GCF_014103895.1,SRS6792579,SRR11949175
GCF_023606605.1,SRS11697451,SRR17649263
GCF_004683985.2,SRS4671553,SRR8954861
GCF_016103035.1,SRS6885221,SRR12066796
GCF_014103775.1,SRS6792205,SRR11948892
GCF_001714595.1,SRS1299293,SRR3176537
GCF_023606545.1,SRS11697461,SRR17649253
GCF_014103585.1,SRS6792102,SRR11948684
GCF_020297545.1,SRS10497991,SRR16259001
GCF_023606585.1,SRS11697450,SRR17649264
GCF_014104375.1,SRS6792777,SRR11949323
GCF_014101255.1,SRS6792621,SRR11949133
GCF_014104295.1,SRS6792783,SRR11949315
GCF_905331245.2,ERS5753002,ERR5319851
GCF_905331245.2,ERS5753002,ERR5319852
GCF_905331245.2,ERS5753002,ERR5319853
GCF_905331245.2,ERS5753002,ERR5319854
GCF_023606395.1,SRS11697460,SRR17649254
GCF_905331355.2,ERS5753014,ERR5319899
GCF_905331355.2,ERS5753014,ERR5319900
GCF_905331355.2,ERS5753014,ERR5319901
GCF_905331355.2,ERS5753014,ERR5319902
GCF_014103655.1,SRS6792323,SRR11949087
GCF_014101235.1,SRS6792232,SRR11948866
GCF_001706125.2,SRS1447161,SRR3547522
GCF_001706775.2,SRS1447178,SRR3547539
GCF_022352385.1,SRS12010900,SRR18036703
GCF_014101375.1,SRS6792097,SRR11948689
GCF_000811965.1,SRS788546,SRR1707402
GCF_023606385.1,SRS11697453,SRR17649261
GCF_016623665.1,SRS7519869,SRR12825842
GCF_001706155.2,SRS1447163,SRR3547524
GCF_014103425.1,SRS6792188,SRR11948910
GCF_002836135.1,SRS2729658,SRR6339916
GCF_001706735.2,SRS1447176,SRR3547537
GCF_014104215.1,SRS6792001,SRR11948785
GCF_002844745.2,SRS11569061,SRR17519992
GCF_001549755.1,SRS1269524,SRR3134556
GCF_001706555.2,SRS1447168,SRR3547529
GCF_001706355.2,SRS1447184,SRR3547545
GCF_001713665.2,SRS1447169,SRR3547530
GCF_002740835.1,SRS2408974,SRR5902285
GCF_001549765.1,SRS1269518,SRR3134552
GCF_014103115.1,SRS6792067,SRR11948719
GCF_001706415.2,SRS1447167,SRR3547528
GCF_014105935.1,SRS6792662,SRR11949436
GCF_014104895.1,SRS6792379,SRR11949031
