RefSeq_ID,SRA_ID,Run_ID
GCF_013177355.1,SRS6660538,SRR11790539
GCF_002073495.2,SRS1704428,SRR4272049
GCF_001552035.1,SRS1074128,SRR2451884
GCF_008632635.1,SRS6212945,SRR11176973
GCF_016889925.1,SRS7822362,SRR13182322
GCF_001753085.1,SRS1473700,SRR3613196
GCF_000178875.2,SRS084755,SRR3927265
GCF_000834295.1,SRS1024604,SRR2147693
GCF_011600945.2,SRS7251069,SRR12507230
GCF_002983865.1,SRS2125016,SRR5449079
GCF_002983865.1,SRS2125016,SRR5449080
GCF_016026695.1,SRS6867253,SRR12046689
GCF_001718635.1,SRS1189678,SRR2972898
GCF_003019965.1,SRS1666861,SRR4125430
GCF_016127755.1,SRS7519879,SRR12825862
GCF_016128095.1,SRS7519924,SRR12825929
GCF_019890915.1,SRS9988235,SRR15683716
GCF_000498655.1,SRS190895,SRR191899
GCF_000498655.1,SRS190895,SRR3924557
GCF_000498655.1,SRS190895,SRR3924558
GCF_002073255.2,SRS1704495,SRR4272590
GCF_034356035.1,SRS19831676,SRR27175281
GCF_020450145.1,SRS10489311,SRR16249311
GCF_000179635.2,SRS084961,SRR3925597
GCF_000179635.2,SRS084961,SRR3925598
GCF_009648575.1,SRS4748429,SRR9042859
GCF_013349145.1,SRS4848722,SRR9162626
GCF_900416725.2,ERS2484026,ERR3402420
GCF_014131755.1,SRS4972288,SRR9301214
GCF_014131755.1,SRS4972288,SRR9301215
GCF_003516165.1,SRS3059730,SRR6853650
GCF_016890085.1,SRS7822877,SRR13183066
GCF_000019905.1,SRS121146,SRR072788
GCF_000019905.1,SRS121146,SRR090726
GCF_009730395.1,SRS4860277,SRR9176576
GCF_916098265.1,ERS7635633,ERR6748689
GCF_003812925.1,SRS4033085,SRR8178083
GCF_018223745.1,SRS9078653,SRR14666018
GCF_905331265.2,ERS5753005,ERR5319863
GCF_905331265.2,ERS5753005,ERR5319864
GCF_905331265.2,ERS5753005,ERR5319865
GCF_905331265.2,ERS5753005,ERR5319866
GCF_003054475.1,SRS2029803,SRR5320431
GCF_012273055.1,SRS4702881,SRR8989643
GCF_002208765.2,SRS2098889,SRR5413293
GCF_003491405.1,SRS3471163,SRR7441445
GCF_025985205.1,SRS10347040,SRR16089770
GCF_000255135.1,SRS1567482,SRR3927510
GCF_000255135.1,SRS1567482,SRR3927511
GCF_001718655.1,SRS896422,SRR1956346
GCF_001886875.1,SRS1168736,SRR2924714
GCF_009731575.1,DRS114143,DRR198110
GCF_000020005.1,SRS1689544,SRR4239897
GCF_000020005.1,SRS1689544,SRR4239898
GCF_000020005.1,SRS1689544,SRR4239899
GCF_016028795.1,SRS6867728,SRR12047230
GCF_000019845.1,SRS1689543,SRR4239896
